Company,Title,Link,Salary,Source,Notes
G2I Inc.,Go Software Engineer AI,https://anywhereremotejobs.com/remote-jobs/go-software-engineer-ai-at-g2i-a31f2c55,$30-$70/hr,AnywhereRemote,AI-related role
Turing,Software Engineer - Agentic AI Data Cloud (Python/Go),https://www.remotejobleads.com/software-engineer-agentic-ai-data-cloud-python-go-2/,$49-$70/hr,RemoteJobLeads,AI-related role
Blau Direkt,AI / LLM Software Engineer (Go),https://nofluffjobs.com/job/ai-llm-software-engineer-blau-direkt-poland-remote,Competitive,NoFluffJobs,AI-related role
CodiLime,Mid/Senior Go Engineer with Web API experience,https://nofluffjobs.com/job/mid-senior-go-engineer-with-web-api-experience-codilime-remote,Competitive,NoFluffJobs,Senior role - matches experience
DCG Sp. z o.o.,Senior Golang Developer,https://nofluffjobs.com/job/senior-golang-developer-dcg-remote,~$8K/mo B2B,NoFluffJobs,Senior role - matches experience
From Poland With Dev,Senior Golang Engineer (Payment solutions),https://nofluffjobs.com/job/senior-golang-engineer-us-product-payment-solutions-from-poland-with-dev-subcarpathian,~$7K/mo B2B,NoFluffJobs,Senior role - matches experience
Makeitright,Golang Developer (Kubernetes),https://nofluffjobs.com/job/golang-developer-kubernetes-makeitright-remote-1,~$6K/mo B2B,NoFluffJobs,
Donfod / USA,Go Developer,https://donfod.com/2026/05/01/go-developer-remote-full-time/,$115K-$180K,Donfod,
IDT Corporation,Senior Golang Software Engineer,https://rs.linkedin.com/jobs/view/senior-golang-software-engineer-n2p-at-idt-corporation-4184830600,Competitive,LinkedIn,Senior role - matches experience
Tyk (via Lynn News),Senior Go Developer,https://uk.linkedin.com/jobs/view/senior-go-developer-at-lynn-news-4250966680,Competitive,LinkedIn,Senior role - matches experience
uDelta,Senior Software Developer (Go),https://rs.linkedin.com/jobs/view/senior-software-developer-go-at-udelta-4190253944,Competitive,LinkedIn,Senior role - matches experience
OLX,Senior Software Engineer (Golang) - Remote Poland,https://pl.linkedin.com/jobs/view/senior-software-engineer-golang-java-php-remote-within-poland-at-olx-4137532355,Competitive,LinkedIn,Senior role - matches experience
Call For Referral,Sr SWE Distributed Systems and Go,https://ee.linkedin.com/jobs/view/senior-software-engineer-distributed-systems-go-24200k-24300k-remote-europe-at-call-for-referral-4031826138,$200K-$300K,LinkedIn,
Brixio,Senior Golang Developer,https://ph.linkedin.com/jobs/view/senior-golang-developer-at-brixio-4170790106,Competitive,LinkedIn,Senior role - matches experience
AUTODOC,Senior Golang Developer,https://www.linkedin.com/jobs/view/senior-golang-developer-at-autodoc-4160238190,Competitive,LinkedIn,Senior role - matches experience
NARD POS,Senior Golang Developer,https://jo.linkedin.com/jobs/view/senior-golang-developer-at-nard-pos-4148244657,Competitive,LinkedIn,Senior role - matches experience
Kubegrade,Senior Go Developer (remote),https://th.linkedin.com/jobs/view/senior-go-developer-remote-at-kubegrade-4132060872,Competitive,LinkedIn,Senior role - matches experience
Professional.me,Remote Golang Developer,https://ua.linkedin.com/jobs/view/remote-golang-developer-at-professional-me-4153831727,Competitive,LinkedIn,
GRAX Inc,Senior Golang Full Stack Developer,https://www.golangprojects.com/golang-remote-jobs.html,$150K-$180K,GolangProjects,Senior role - matches experience
Voodoo,Staff Backend Engineer - Golang,https://www.golangprojects.com/golang-remote-jobs.html,Competitive,GolangProjects,
Group-IB,Senior Golang Developer,https://www.golangprojects.com/golang-remote-jobs.html,Competitive,GolangProjects,Senior role - matches experience
CYZA,Backend Go Engineer,https://www.golangprojects.com/golang-remote-jobs.html,Competitive,GolangProjects,
TRE ALTAMIRA Srl,Senior Golang Developer,https://www.golangprojects.com/golang-remote-jobs.html,50K-65K EUR,GolangProjects,Senior role - matches experience
